GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-skeleton,com.nnk.springboot.controllers,LoginController,41,3,0,0,12,1,3,1,3,1
spring-boot-skeleton,com.nnk.springboot.controllers,HomeController,4,3,0,0,2,1,2,1,2,1
spring-boot-skeleton,com.nnk.springboot.controllers,CurveController,0,89,0,6,0,24,0,10,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,UserController,7,120,0,4,0,29,1,10,1,8
spring-boot-skeleton,com.nnk.springboot.controllers,TradeController,0,89,0,6,0,24,0,10,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,RuleNameController,0,89,0,6,0,24,0,10,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,BidListController,0,84,0,6,0,23,0,10,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,RatingController,0,89,0,6,0,24,0,10,0,7
spring-boot-skeleton,com.nnk.springboot.services,TradeService,0,23,0,0,0,6,0,5,0,5
spring-boot-skeleton,com.nnk.springboot.services,RatingService,0,23,0,0,0,6,0,5,0,5
spring-boot-skeleton,com.nnk.springboot.services,RuleNameService,0,23,0,0,0,6,0,5,0,5
spring-boot-skeleton,com.nnk.springboot.services,CurveService,0,23,0,0,0,6,0,5,0,5
spring-boot-skeleton,com.nnk.springboot.services,BidListService,0,23,0,0,0,6,0,5,0,5
spring-boot-skeleton,com.nnk.springboot.configuration,SpringSecurityConfig,0,158,0,0,0,28,0,7,0,7
spring-boot-skeleton,com.nnk.springboot,Application,5,3,0,0,2,1,1,1,1,1
